ticker,sector,naive_RMSE,naive_MAE,naive_MAPE,naive_DirAcc,linreg_RMSE,linreg_MAE,linreg_MAPE,linreg_DirAcc,arima_RMSE,arima_MAE,arima_MAPE,arima_DirAcc,arima_order,lstm_RMSE,lstm_MAE,lstm_MAPE,lstm_DirAcc,epochs_trained,lstm_ret_RMSE,lstm_ret_MAE,lstm_ret_MAPE,lstm_ret_DirAcc
TCS.NS,Information Technology,45.89545393399953,31.690997075768156,1.224666163515005,2.23463687150838,50.49867429190736,36.4790052365836,1.4168534892853475,53.072625698324025,46.100480987791855,32.03561835932514,1.2373878647292365,45.2513966480447,"(5, 1, 0)",246.44392656395516,185.7361828681477,8.00093666047728,46.927374301675975,19,46.2873649150184,32.151463940911555,1.2449246828602865,44.134078212290504
INFY.NS,Information Technology,25.315298419382028,17.726756857760126,1.36547454635403,2.23463687150838,26.915619780669143,19.2663460385821,1.4925272662610385,47.486033519553075,25.41583663646632,17.890945446739458,1.3776194806158553,48.60335195530726,"(5, 1, 0)",40.54188186731559,31.371300042008553,2.5349051816696826,39.66480446927375,21,25.49426897532711,17.918240108950787,1.3820721862777028,45.2513966480447
HCLTECH.NS,Information Technology,25.331389262551156,17.179581796656773,1.2630994166096956,2.23463687150838,28.557682117029955,20.692303310265864,1.5420202214143717,45.81005586592179,25.544591943280743,17.408695919738573,1.2813113844202346,42.45810055865922,"(5, 1, 0)",43.56170785977772,31.32605867012919,2.351874637738599,50.83798882681564,45,25.47599373252982,17.35103687297307,1.2786936629580685,45.81005586592179
WIPRO.NS,Information Technology,3.6487600860039033,2.504267005281074,1.1697961138503326,2.23463687150838,3.783983346702225,2.785641328881756,1.316236579953853,52.513966480446925,3.6476569151780422,2.5051496743291577,1.1712087731444545,51.955307262569825,"(5, 1, 0)",5.387892815013728,4.10470248600624,1.9770990924901908,48.60335195530726,28,3.71230714066607,2.5982490415468367,1.2171741284326592,46.927374301675975
TECHM.NS,Information Technology,26.89257695546796,19.61536462879714,1.358378766163458,3.35195530726257,28.93632457727457,21.539612223989085,1.4928077441996122,46.36871508379888,27.032954225212233,19.857274271713013,1.3745247611040288,48.04469273743017,"(5, 1, 0)",38.61710203460867,28.90376222067039,1.995125394790927,52.513966480446925,42,27.055948019601303,19.85942558347702,1.374636934111436,43.575418994413404
OFSS.NS,Information Technology,169.3932859800573,124.81147433659218,1.5299068579785424,2.23463687150838,180.15326483413116,134.1598392862949,1.6376319389123817,47.486033519553075,168.28648103563955,125.19247293260756,1.5374392571541744,50.83798882681564,"(5, 1, 0)",338.07309768661486,264.1780508030726,3.118262910684761,49.72067039106145,27,169.50783034283916,125.63201969918099,1.538214693017698,50.27932960893855
PERSISTENT.NS,Information Technology,118.8867040538638,85.75307699022346,1.60575604287101,2.793296089385475,137.74450657335356,103.102939390333,1.9594251742571769,48.04469273743017,121.15432785981092,87.32735204406015,1.636278897018064,50.83798882681564,"(5, 1, 0)",313.8202940224462,258.9656839210894,4.922718764443452,49.162011173184354,31,119.34563036823592,85.96015847057504,1.6110541130550655,51.39664804469274
COFORGE.NS,Information Technology,35.88295079086125,26.788651279896996,1.8380499950449296,2.23463687150838,41.325329985484466,32.038761823652166,2.202227004288446,50.27932960893855,36.124340783108416,27.169078489978276,1.860044140539372,46.36871508379888,"(5, 1, 0)",65.65313989115491,55.23479440358764,3.760229071774973,49.162011173184354,41,35.89385247038991,26.821449855684467,1.837338951172482,47.486033519553075
MPHASIS.NS,Information Technology,43.99954647359628,33.725120842789806,1.4135465011250483,2.23463687150838,45.41996953010845,35.70564019399336,1.497846278224249,51.39664804469274,43.90737916617736,33.71886556749358,1.4147938358932224,54.18994413407822,"(5, 1, 0)",48.947630858258336,37.97535952775838,1.5944863070686963,48.04469273743017,27,43.95345276327797,34.275995468955735,1.4316607688777083,51.955307262569825
LTTS.NS,Information Technology,88.1202722816003,62.4234284981669,1.7240592531024772,2.793296089385475,93.84628234383732,67.81193300785279,1.8863246078980664,56.98324022346368,89.58658260697595,63.101479080801,1.7421573883633197,49.72067039106145,"(5, 1, 0)",112.9044737477837,86.37847116140014,2.3795576609053595,55.865921787709496,32,88.00983455777305,62.35731639060239,1.7224579713628438,50.27932960893855
HDFCBANK.NS,Banking & Financial Services,11.501855547662537,8.392660641803422,1.0085774375275178,2.23463687150838,12.6178666323016,9.126191170339576,1.0981966506064524,45.81005586592179,11.505193968871836,8.399251772729983,1.0089626824420834,50.27932960893855,"(5, 1, 0)",38.38164144758268,30.72095715400227,3.353446113378814,56.42458100558659,33,11.90114302402817,8.864040827762993,1.0634821584778231,43.01675977653631
ICICIBANK.NS,Banking & Financial Services,17.017733815942023,13.215638911923882,0.9923579277253348,2.23463687150838,19.649156008309227,15.426560518296178,1.165101660713474,49.72067039106145,17.015266985317997,13.25865850655482,0.9956726761574112,46.927374301675975,"(5, 1, 0)",37.1174926447817,31.479120520906076,2.322924606630014,50.83798882681564,25,17.216133205318396,13.577311322593939,1.0205572840090396,45.2513966480447
SBIN.NS,Banking & Financial Services,16.35985269834755,11.052471821534574,1.0771722276106317,2.793296089385475,19.2531821856774,13.475138234837486,1.3130582806979365,48.04469273743017,16.28239396943015,11.083456392686088,1.0806369851813755,55.3072625698324,"(5, 1, 0)",173.96995768489714,162.3327326428291,15.650598752455943,45.2513966480447,27,16.56904941731679,11.362130910306979,1.1083290067263238,48.60335195530726
BAJFINANCE.NS,Banking & Financial Services,17.947413929437857,13.008730414193437,1.382974418790446,2.793296089385475,19.045606233024376,13.8902831627883,1.473963759080067,46.927374301675975,17.98449888190059,12.98858290897658,1.3807249501544865,55.865921787709496,"(5, 1, 0)",154.11863067500428,145.61108739416028,14.946777929705105,49.72067039106145,46,17.895750171832475,13.047984339727126,1.3867356046771628,48.04469273743017
AXISBANK.NS,Banking & Financial Services,20.110702615210457,14.276250572843924,1.1096780579855072,2.23463687150838,21.792639372538357,15.915038562542152,1.2382676647549573,47.486033519553075,19.898366685786556,14.428920954180803,1.1213857147961863,49.162011173184354,"(5, 1, 0)",42.23924922477799,34.871786618365924,2.6493550172479665,48.60335195530726,45,20.37878228966229,15.005199585022542,1.1660149708828573,48.60335195530726
KOTAKBANK.NS,Banking & Financial Services,5.365038120539671,4.018770185928769,1.0099956524222842,2.793296089385475,5.735002976254453,4.196261697849762,1.048811597443851,54.7486033519553,5.341592353955115,4.008267465099893,1.0069475559068544,46.36871508379888,"(5, 1, 0)",17.3285399431036,13.836722773546612,3.3147689815173207,56.42458100558659,18,5.334028572948416,3.9791536469710307,1.0002272002584542,53.63128491620112
BAJAJFINSV.NS,Banking & Financial Services,28.943486676121513,21.565009601955307,1.1494878660376058,3.35195530726257,30.91972828011484,23.018759009993957,1.2284425295612331,45.2513966480447,28.92269030109137,21.551443640319235,1.1487404776799914,53.63128491620112,"(5, 1, 0)",101.98271308137554,85.19936946250873,4.293840887160704,49.72067039106145,18,28.770072149276885,21.46925840819015,1.1431764678325789,53.072625698324025
SHRIRAMFIN.NS,Banking & Financial Services,22.73731661963962,15.9595793825288,1.6785720162591709,2.793296089385475,25.096741919186854,18.267595766083303,1.9302455167960333,47.486033519553075,22.73167798030252,15.934148733160267,1.676723650583995,50.27932960893855,"(5, 1, 0)",232.34281307809468,216.46564743638703,22.23215611895387,43.01675977653631,28,22.77033166327083,16.004782160665382,1.6830982998846753,51.39664804469274
SBILIFE.NS,Banking & Financial Services,25.68371000254572,18.704542788713336,0.9774880288722042,2.23463687150838,28.327868084475988,20.81761277632597,1.0906790502964658,45.2513966480447,25.769453071456237,18.68042396626955,0.9766877662641892,51.955307262569825,"(5, 1, 0)",93.50684091140629,81.47887092462464,4.1309535106036055,46.927374301675975,36,25.82085000884372,18.97905225153246,0.9912200836947092,47.486033519553075
JIOFIN.NS,Banking & Financial Services,4.825642858976709,3.6567332957050582,1.5276382413704988,3.96039603960396,5.117830113526311,3.939006950167097,1.644456309194436,54.45544554455446,4.827945137879876,3.6496370489810728,1.524453732070761,50.495049504950494,"(5, 1, 0)",6.998033700455606,5.672875432684867,2.329265844086471,56.43564356435643,29,4.954493733416165,3.7576931713782598,1.5705099079222185,46.53465346534654
RELIANCE.NS,Energy,18.885783606725283,13.892843406293643,0.9932556128735744,2.793296089385475,19.716429747842252,15.190997069071573,1.0865426971155845,45.81005586592179,18.90544540020565,13.942416028736025,0.9968645830737336,51.955307262569825,"(5, 1, 0)",31.996795941616305,26.825021413451463,1.8738048741655904,43.01675977653631,40,18.869609417498786,14.023879797705847,1.003166797990062,45.2513966480447
ADANIPOWER.NS,Energy,3.963825197025273,2.7846370249487156,1.5757120543984542,2.23463687150838,4.4876682353964785,3.0986749722211564,1.735339559258497,52.513966480446925,4.054642068258356,2.8529407950957117,1.609050446414085,49.72067039106145,"(5, 1, 0)",26.13311051011885,16.7438881304011,7.812073127203151,57.54189944134078,33,4.21575120540189,2.9774039491408213,1.6733169778867363,51.39664804469274
NTPC.NS,Energy,4.627175162745208,3.449339456398393,0.953364145202646,5.027932960893855,4.883254742287177,3.721971855984612,1.028182585442333,47.486033519553075,4.700421895415718,3.4944848252005793,0.9657849334305466,47.486033519553075,"(5, 1, 0)",8.073382682468935,6.6123372509492855,1.8334227361677773,50.27932960893855,16,4.696039855584177,3.5375715845861446,0.9786543539755941,49.72067039106145
ONGC.NS,Energy,4.302646391865635,2.9655696932829945,1.1400840856173595,2.23463687150838,4.552828118488696,3.1972989663846216,1.2230991286706052,50.27932960893855,4.363907601282893,2.989321378556879,1.148305992254061,50.27932960893855,"(5, 1, 0)",10.068263497422944,7.158751674204566,2.6209889643686086,54.18994413407822,46,4.402609522540811,3.103604682540145,1.1911478451125928,49.72067039106145
POWERGRID.NS,Energy,3.699948340918614,2.6494442390995983,0.9305462106643952,2.23463687150838,4.183847135813431,3.0997497110411487,1.08302407452281,48.60335195530726,3.739030794334894,2.6851385270799772,0.9429748523297042,52.513966480446925,"(5, 1, 0)",10.126041273300642,7.79375283012177,2.6754619418174506,47.486033519553075,32,4.24316465322302,3.169200338487915,1.1073732796606273,48.60335195530726
COALINDIA.NS,Energy,6.788524186237734,4.755674905617149,1.1028789803417614,2.23463687150838,7.191126300761109,5.2217488423149465,1.2103397924579948,53.63128491620112,6.792934370179398,4.7662476225496535,1.1052838853241174,49.72067039106145,"(5, 1, 0)",32.21626067902786,27.51673045238303,6.206172867360892,49.162011173184354,11,6.7799766925889315,4.7353437279157875,1.0982932465980901,51.955307262569825
ADANIGREEN.NS,Energy,29.590511658591073,20.47709101671613,1.8684201216432228,2.23463687150838,35.465324344299894,23.814541190876675,2.2213717182797494,50.83798882681564,29.874755182141215,20.5078140415951,1.8664279008622335,53.072625698324025,"(5, 1, 0)",35.51736432598977,26.501273895775142,2.4218788004420433,53.072625698324025,52,29.477509246941167,20.4888649258886,1.867019679377735,45.2513966480447
IOC.NS,Energy,2.7268077798226873,2.0098006605436014,1.3212210174169026,2.23463687150838,3.2472214410583056,2.3743373339212948,1.5593881408565735,48.60335195530726,2.7635967188982216,2.033506329137487,1.336369664646272,52.513966480446925,"(5, 1, 0)",7.485450357649987,6.138231842211505,3.9298992065760534,49.162011173184354,20,2.793279844412949,2.0493144250694275,1.3467553578776834,46.36871508379888
ADANIENSOL.NS,Energy,29.27180617596404,21.23603386053161,1.87325361618247,2.23463687150838,34.375189494021036,25.881108376638068,2.3239769366046032,48.04469273743017,29.476442370223957,21.68266473319164,1.9087316329971376,51.955307262569825,"(5, 1, 0)",40.60641667796228,31.005351657973993,2.723503703814856,48.04469273743017,25,29.293279443392876,21.24543594540831,1.8715820987597414,48.60335195530726
BPCL.NS,Energy,6.543352287715277,4.830206503415241,1.483095858464737,2.793296089385475,8.00109485127065,6.025870796758232,1.8473580509478469,44.134078212290504,6.581809978881916,4.844330811060713,1.4870097572701877,49.72067039106145,"(5, 1, 0)",22.34455168875523,17.928420764773918,5.150288299173639,53.63128491620112,18,6.645559499799883,4.960236299058936,1.5240695411149137,45.2513966480447
HINDUNILVR.NS,FMCG,30.53696396157235,22.643022760998605,1.007121324767329,2.23463687150838,33.406404875457,24.91389840965321,1.1080947098947014,44.134078212290504,30.646268460362226,22.817058455969423,1.0146292206484526,46.927374301675975,"(5, 1, 0)",35.09636393527952,25.663894738564945,1.1452351627432429,51.955307262569825,37,30.754033550130348,22.73874287464009,1.0133023347301044,54.7486033519553
ITC.NS,FMCG,4.494804284475448,2.8107093512678945,0.8868703953334436,2.793296089385475,5.400178315730405,3.4341386501521383,1.0850202030573688,43.01675977653631,4.523917998220952,2.832805518176755,0.8931682239715688,52.513966480446925,"(5, 1, 0)",5.916403442156595,3.842605676064944,1.2194395953260229,54.7486033519553,53,4.621401354491612,2.9179723774033413,0.9213209015156628,44.6927374301676
NESTLEIND.NS,FMCG,15.810552231026184,11.27410990965433,0.8603551573447517,2.23463687150838,17.649127640226887,12.705792664965587,0.9612228785586794,49.162011173184354,15.874524840831487,11.41768914817223,0.8709013178515933,44.6927374301676,"(5, 1, 0)",66.38988354788617,46.609857143636525,3.364484364860873,53.63128491620112,33,16.63730476856582,11.876051659437595,0.9037462583593303,49.162011173184354
VBL.NS,FMCG,8.87944921611575,6.534968370831881,1.3907600733238352,2.23463687150838,9.47246637050027,7.159654510878806,1.5272513233136251,48.60335195530726,9.016765619968664,6.625254904569725,1.410278861037214,53.072625698324025,"(5, 1, 0)",14.308202054177263,10.820884832456793,2.3761652062919687,52.513966480446925,34,9.094614284331536,6.79821102973167,1.4504009657685224,46.36871508379888
BRITANNIA.NS,FMCG,71.53104182195362,54.0,0.9456247245524984,2.23463687150838,77.14868607736675,59.0218015202811,1.0334923820003492,46.927374301675975,71.6748880132504,54.345080043181426,0.9524030350829796,49.72067039106145,"(5, 1, 0)",108.69737012076718,84.70221663320531,1.4647477034685463,50.83798882681564,39,71.86861399110613,54.21962047520441,0.9489871592993473,48.04469273743017
MARICO.NS,FMCG,8.882292097887019,6.951676182240747,0.8985784040152653,2.23463687150838,9.53915664178902,7.481650511136532,0.9657129554324976,48.04469273743017,8.876856296012551,6.946217524627851,0.897774837620827,48.60335195530726,"(5, 1, 0)",69.78357652971606,63.17580511849686,8.022803773288713,48.04469273743017,26,8.909419022909471,6.942831989227747,0.8975525434308801,51.955307262569825
GODREJCP.NS,FMCG,17.519501298031706,12.83460086417598,1.1715746079745153,2.793296089385475,19.59701781822838,14.73915203386391,1.34541431848126,47.486033519553075,17.57491817152118,12.85013925586015,1.1726028553628085,49.72067039106145,"(5, 1, 0)",21.3467719090392,16.80265935972416,1.5158317424363716,46.36871508379888,26,17.585833967843612,12.818582641465701,1.1698415110989853,53.63128491620112
TATACONSUM.NS,FMCG,16.992892150462268,12.669936196098115,1.1149353023378177,2.23463687150838,17.519984528748843,13.381878407543518,1.177942757887103,46.36871508379888,16.850599517457578,12.54666082063121,1.1043192526245476,55.3072625698324,"(5, 1, 0)",28.49141513832276,22.56202399397695,1.9657707148202717,49.162011173184354,44,17.052023718136116,12.826910902888574,1.1290261102650274,41.340782122905026
DABUR.NS,FMCG,7.119200771845172,5.237762962639664,1.1159751121522763,3.35195530726257,8.09630994789253,5.900466029197711,1.2613219288781028,51.39664804469274,7.145225962132172,5.271918915479696,1.1236175854525998,43.01675977653631,"(5, 1, 0)",22.24372128233085,17.295096115027054,3.8735644716550888,45.2513966480447,18,7.354176552726254,5.445539003832815,1.1639216238585997,46.927374301675975
COLPAL.NS,FMCG,31.58499485367796,22.73758701771997,1.1029999089691636,2.23463687150838,34.938261324513086,25.403674425074513,1.2369749902986882,49.72067039106145,31.804480389478197,23.029303030734937,1.1179591799530346,46.927374301675975,"(5, 1, 0)",68.392751297782,44.77655540764665,2.239841658686558,53.63128491620112,27,32.02109757704649,22.97416614602864,1.1154315388742269,48.60335195530726
